full_repository_name,name,user_type,created_at,pushed_at,updated_at,default_branch,description,open_issues,open_issues_count,visibility,watchers,watchers_count,is_disabled,is_archieved,languages_url,contributors_url,user name,state,contributions_count,language,language_count
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Vim Script,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Shell,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Python,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Go,1918.0
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Dockerfile,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Rust,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,TLA,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,TypeScript,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,HTML,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Smarty,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,Handlebars,
chadxzs/gopl_exercises,gopl_exercises,User,2022-02-13T03:43:23Z,2022-02-13T06:08:50Z,2022-02-13T03:43:40Z,main,Exercises from The Go Programming Language ,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/gopl_exercises/languages,https://api.github.com/repos/chadxzs/gopl_exercises/contributors,chadxzs,Alabama,4,JavaScript,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Vim Script,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Shell,663.0
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Python,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Go,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Dockerfile,111.0
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Rust,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,TLA,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,TypeScript,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,HTML,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Smarty,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,Handlebars,
chadxzs/linkerd-workshop-2022-01-13,linkerd-workshop-2022-01-13,User,2022-01-13T16:35:08Z,2022-01-16T05:16:32Z,2022-01-13T17:32:48Z,main,,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/languages,https://api.github.com/repos/chadxzs/linkerd-workshop-2022-01-13/contributors,chadxzs,Alabama,7,JavaScript,
chadxzs/report-deploy-github-action,report-deploy-github-action,User,2022-11-23T23:17:13Z,2022-11-29T15:18:03Z,2022-11-05T21:43:46Z,main,Github Action to Report Deploy to OpsLevel,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/report-deploy-github-action/languages,https://api.github.com/repos/chadxzs/report-deploy-github-action/contributors,chadxzs,Alabama,19,Vim Script,
chadxzs/report-deploy-github-action,report-deploy-github-action,User,2022-11-23T23:17:13Z,2022-11-29T15:18:03Z,2022-11-05T21:43:46Z,main,Github Action to Report Deploy to OpsLevel,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/report-deploy-github-action/languages,https://api.github.com/repos/chadxzs/report-deploy-github-action/contributors,chadxzs,Alabama,19,Shell,11773.0
chadxzs/report-deploy-github-action,report-deploy-github-action,User,2022-11-23T23:17:13Z,2022-11-29T15:18:03Z,2022-11-05T21:43:46Z,main,Github Action to Report Deploy to OpsLevel,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/report-deploy-github-action/languages,https://api.github.com/repos/chadxzs/report-deploy-github-action/contributors,chadxzs,Alabama,19,Python,
chadxzs/report-deploy-github-action,report-deploy-github-action,User,2022-11-23T23:17:13Z,2022-11-29T15:18:03Z,2022-11-05T21:43:46Z,main,Github Action to Report Deploy to OpsLevel,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/report-deploy-github-action/languages,https://api.github.com/repos/chadxzs/report-deploy-github-action/contributors,chadxzs,Alabama,19,Go,
chadxzs/report-deploy-github-action,report-deploy-github-action,User,2022-11-23T23:17:13Z,2022-11-29T15:18:03Z,2022-11-05T21:43:46Z,main,Github Action to Report Deploy to OpsLevel,0,0,public,0,0,False,False,https://api.github.com/repos/chadxzs/report-deploy-github-action/languages,https://api.github.com/repos/chadxzs/report-deploy-github-action/contributors,chadxzs,Alabama,19,Dockerfile,1907.0
